Country,State,Year,As On Date,"Number Of Houses Completed (UOM:Number), Scaling Factor:1"
India,Mizoram,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Nagaland,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Odisha,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Puducherry,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Punjab,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Rajasthan,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Sikkim,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Telangana,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Uttarakhand,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,West Bengal,"Financial Year (Apr - Mar), 2015",11-Mar-2026,0
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Assam,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Bihar,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Goa,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Gujarat,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Haryana,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2014",11-Mar-2026,0
