Country,State,Year,As On Date,Category,"Number Of Houses Sanctioned (UOM:Number), Scaling Factor:1","Number Of Houses Completed (UOM:Number), Scaling Factor:1","Average Construction Time (UOM:Days), Scaling Factor:1","Average Administrative Time (UOM:Days), Scaling Factor:1","Average Financial Transaction Time (UOM:Days), Scaling Factor:1","Actual Average Completion Time (UOM:Days), Scaling Factor:1","Average Completion Time (UOM:Days), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,209,59,302,87,7,396,329
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,35721.28136611914765184380,24256.85670898368935343270,0,0,0,0,0
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,8940,784,-11,132,13,134,163
India,Assam,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,206881,195987,310,49,11,370,442
India,Bihar,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,633128,573601,417,68,10,495,492
India,Chhattisgarh,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,232628,226330,216,56,17,289,254
India,Goa,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,241,130,272,105,5,382,465
India,Gujarat,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,113400,109874,248,193,12,453,325
India,Haryana,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,11671,11502,351,181,16,548,453
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,4743,4613,206,120,14,340,283
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,14441,13217,244,126,11,381,429
India,Jharkhand,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,230831,223542,287,235,26,548,351
India,Karnataka,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,89359,60055,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,16222,14013,309,37,17,363,342
India,Ladakh,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,596,596,63,138,14,215,242
India,Lakshadweep,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,53,44,468,27,54,549,771
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,448145,431419,216,41,18,275,299
India,Maharashtra,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,223916,209959,270,171,27,468,381
India,Manipur,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,9747,9716,277,131,8,416,533
India,Meghalaya,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,17030,16314,286,151,7,444,547
India,Mizoram,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,4806,4708,251,124,9,384,317
India,Nagaland,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,4239,4239,0,0,1,1,418
India,Odisha,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,396044,377078,299,108,18,425,348
India,Punjab,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,10000,9843,221,45,5,271,252
India,Rajasthan,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,249786,245980,219,69,19,307,332
India,Sikkim,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,1079,1070,262,85,9,356,331
India,Tamil Nadu,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,176338,142912,348,91,9,448,402
India,Telangana,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,23320.71863388085234815620,15836.14329101631064656730,0,0,0,0,0
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,290,169,258,174,8,440,504
India,Tripura,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,23729,23278,293,41,9,343,441
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,571929,565693,200,32,21,253,279
India,Uttarakhand,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,8576,8401,264,105,15,384,337
India,West Bengal,"Financial Year (Apr - Mar), 2016",11-Mar-2026,All Category,431817,425457,223,66,40,329,293
