Country,State,Year,As On Date,Category,"Registered (UOM:Number), Scaling Factor:1","Sanctioned (UOM:Number), Scaling Factor:1","Eligible For Lpg Connection (UOM:Number), Scaling Factor:1","House With Lpg Connection (UOM:Number), Scaling Factor:1","Swachh Bharat Mission Number (UOM:Number), Scaling Factor:1","Job Card Number Mapped (UOM:Number), Scaling Factor:1"
India,Nagaland,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,25834,25834,0,0,0,25834
India,Odisha,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,4,0,0,0,0,4
India,Punjab,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,0,0,0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,0,0,0,0,0,0
India,Sikkim,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,1703,0,0,0,0,1703
India,Tamil Nadu,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,6,1,0,0,0,6
India,Telangana,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,5095.00000000000000000000,5095.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,4345.00000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,15591,115417,0,0,0,15591
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,102841,143610,0,0,0,102841
India,Uttarakhand,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,1449,21999,0,0,0,1449
India,West Bengal,"Financial Year (Apr - Mar), 2023",03-Dec-2025,All Category,1,0,0,0,0,1
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,373,159,0,0,0,373
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,0,0,0,0,0,0
India,Assam,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,7,0,2,0,0,7
India,Bihar,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,37910,0,2,0,0,37910
India,Chhattisgarh,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,65307,78996,57811,0,508,65296
India,Goa,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,0,0,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,20040,166639,5,2,0,20040
India,Haryana,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,20,0,0,0,0,20
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,15,0,0,0,0,15
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,2582,0,0,0,0,2582
India,Jharkhand,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,6040,0,2,0,0,6040
India,Karnataka,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,0,0,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,0,0,0,0,0,0
India,Ladakh,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,5,0,0,0,0,5
India,Lakshadweep,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,0,0,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,11410,0,7,1,12,11410
India,Maharashtra,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,47954,0,5,0,0,47954
India,Manipur,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,19,0,0,0,0,19
India,Meghalaya,"Financial Year (Apr - Mar), 2022",03-Dec-2025,All Category,0,0,0,0,0,0
